current_binomial;current_name;source_current_name;current_authority;sp6;sp4;wcvp_matched_authors;wcvp_matched_name;wcvp_matched_plant_name_id;wcvp_matched_ipni_id;wcvp_matched_status;wcvp_match_similarity;wcvp_accepted_name;wcvp_accepted_binomial;wcvp_accepted_family;wcvp_accepted_authority;wcvp_accepted_plant_name_id;wcvp_accepted_powo_id;wcvp_accepted_ipni_id;wcvp_accepted_lifeform;garwood_name;garwood_synonyms;garwood_lifeform;zotz_name;census_plot;BCI;garwood_BCNM;liana_name;woody_forestgeo;forestgeo_habit;source_list;wcvp_matched_name_gbif_id;wcvp_matched_name_gbif_scientificName;wcvp_matched_name_gbif_matchtype;wcvp_matched_name_gbif_status;wcvp_matched_name_gbif_acceptedScientificName;wcvp_accepted_name_gbif_id;wcvp_accepted_name_gbif_scientificName;wcvp_accepted_name_gbif_matchtype;wcvp_accepted_name_gbif_status;wcvp_accepted_name_gbif_acceptedScientificName
Alseis blackiana;Alseis blackiana;ForestGeo;Hemsl.;alsebl;ALSB;Hemsl.;Alseis blackiana;6968;743041-1;Accepted;1;Alseis blackiana;Alseis blackiana;Rubiaceae;Hemsl.;6968;743041-1;743041-1;tree;Alseis blackiana;;T;;bci50ha, bci10ha, bci25ha, P14, P11, Zetek, AVA, Drayton, Pearson, P10, P12, P13, P18, gigante1, gigante2, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;5334873;Alseis blackiana Hemsl.;EXACT;ACCEPTED;;5334873;Alseis blackiana Hemsl.;EXACT;ACCEPTED;
Alsophila cuspidata;Alsophila cuspidata;Garwood2009;(Kunze) D.S.Conant;;;(Kunze) D.S.Conant;Alsophila cuspidata;3158898;9954-2;Accepted;1;Alsophila cuspidata;Alsophila cuspidata;Cyatheaceae;(Kunze) D.S.Conant;3158898;9954-2;9954-2;;Alsophila cuspidata;Nephelea cuspidata (Kunze) Tryon;U;;;VRAI;FAUX;;FAUX;;Garwood2009;5529620;Alsophila cuspidata (Kunze) D.S.Conant;EXACT;ACCEPTED;;5529620;Alsophila cuspidata (Kunze) D.S.Conant;EXACT;ACCEPTED;
Alternanthera paronychioides;Alternanthera paronychioides;Garwood2009;A. St.-Hil.;;;A.St.-Hil.;Alternanthera paronychioides;2631325;327343-2;Accepted;1;Alternanthera paronychioides;Alternanthera paronychioides;Amaranthaceae;A.St.-Hil.;2631325;327343-2;327343-2;subshrub or helophyte;Alternanthera paronychioides;Alternanthera ficoidea (L.) Sm.;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;3084922;Alternanthera paronychioides A.St.-Hil.;EXACT;ACCEPTED;;3084922;Alternanthera paronychioides A.St.-Hil.;EXACT;ACCEPTED;
Alternanthera sessilis;Alternanthera sessilis;Garwood2009;(L.) R.Br. ex DC.;;;(L.) DC.;Alternanthera sessilis;2631425;1069792-2;Accepted;1;Alternanthera sessilis;Alternanthera sessilis;Amaranthaceae;(L.) DC.;2631425;1069792-2;1069792-2;subshrub or helophyte;Alternanthera sessilis;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;3084939;Alternanthera sessilis (L.) R.Br. ex DC.;EXACT;ACCEPTED;;3084939;Alternanthera sessilis (L.) R.Br. ex DC.;EXACT;ACCEPTED;
Amaioua glomerulata;Amaioua glomerulata;ForestGeo;(Lam. ex Poir.) Delprete & C.H. Perss.;amaico;AMAC;(Lam. ex Poir.) Delprete & C.H.Perss.;Amaioua glomerulata;489041;77124830-1;Accepted;1;Amaioua glomerulata;Amaioua glomerulata;Rubiaceae;(Lam. ex Poir.) Delprete & C.H.Perss.;489041;77124830-1;77124830-1;shrub or tree;Amaioua corymbosa;;U;;bci50ha, bci25ha, Drayton, gigante1, gigante2, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;7686451;Amaioua glomerulata (Lam. ex Poir.) Delprete & C.H.Perss.;EXACT;ACCEPTED;;7686451;Amaioua glomerulata (Lam. ex Poir.) Delprete & C.H.Perss.;EXACT;ACCEPTED;
Amaranthus viridis;Amaranthus viridis;Garwood2009;L.;;;L.;Amaranthus viridis;2633159;316349-2;Accepted;1;Amaranthus viridis;Amaranthus viridis;Amaranthaceae;L.;2633159;316349-2;316349-2;annual;Amaranthus viridis;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;5384334;Amaranthus viridis L.;EXACT;ACCEPTED;;5384334;Amaranthus viridis L.;EXACT;ACCEPTED;
Amphilophium crucigerum;Amphilophium crucigerum;ForestGeo;(L.) L.G. Lohmann;amp3cr;;(L.) L.G.Lohmann;Amphilophium crucigerum;320940;77100444-1;Accepted;1;Amphilophium crucigerum;Amphilophium crucigerum;Bignoniaceae;(L.) L.G.Lohmann;320940;77100444-1;77100444-1;liana;Pithecoctenium crucigerum;New name in press: Amphilophium crucigerum (L.) L.G.Lohman, in press;L;;;VRAI;FAUX;Amphilophium crucigerum;VRAI;Climbing;Garwood2009;4931838;Amphilophium crucigerum (L.) L.G.Lohmann;EXACT;ACCEPTED;;4931838;Amphilophium crucigerum (L.) L.G.Lohmann;EXACT;ACCEPTED;
Amphilophium paniculatum;Amphilophium paniculatum;ForestGeo;(L.) Kunth;amp3pa;AMPP;(L.) Kunth;Amphilophium paniculatum;319459;108202-1;Accepted;1;Amphilophium paniculatum;Amphilophium paniculatum;Bignoniaceae;(L.) Kunth;319459;108202-1;108202-1;liana;Amphilophium paniculatum var. molle;;L;;;VRAI;FAUX;Amphilophium paniculatum;VRAI;Climbing;Garwood2009;3172589;Amphilophium paniculatum (L.) Kunth;EXACT;ACCEPTED;;3172589;Amphilophium paniculatum (L.) Kunth;EXACT;ACCEPTED;
Anacardium excelsum;Anacardium excelsum;ForestGeo;(Bertero & Balb. ex Kunth) Skeels;anacex;ANAE;(Bertero & Balb. ex Kunth) Skeels;Anacardium excelsum;2635897;12224-2;Accepted;1;Anacardium excelsum;Anacardium excelsum;Anacardiaceae;(Bertero & Balb. ex Kunth) Skeels;2635897;12224-2;12224-2;tree;Anacardium excelsum;;T;;bci50ha, bci10ha, bci25ha, P11, AVA, Drayton, Pearson, P10, P18, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;5544303;Anacardium excelsum (Bertero & Balb.) Skeels;EXACT;ACCEPTED;;5544303;Anacardium excelsum (Bertero & Balb.) Skeels;EXACT;ACCEPTED;
Anacardium occidentale;Anacardium occidentale;ForestGeo;L.;anacoc;ANAO;L.;Anacardium occidentale;2635912;319068-2;Accepted;1;Anacardium occidentale;Anacardium occidentale;Anacardiaceae;L.;2635912;319068-2;319068-2;tree;Anacardium occidentale;;U;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;5421368;Anacardium occidentale L.;EXACT;ACCEPTED;;5421368;Anacardium occidentale L.;EXACT;ACCEPTED;
Ananas comosus;Ananas comosus;Garwood2009;(L.) Merr.;;;(L.) Merr.;Ananas comosus;219669;12322-2;Accepted;1;Ananas comosus;Ananas comosus;Bromeliaceae;(L.) Merr.;219669;12322-2;12322-2;perennial;Ananas comosus;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;5288819;Ananas comosus (L.) Merr.;EXACT;ACCEPTED;;5288819;Ananas comosus (L.) Merr.;EXACT;ACCEPTED;
Ananthacorus angustifolius;Ananthacorus angustifolius;Zotz;(Sw.) Underw. & Maxon;;;(Sw.) Underw. & Maxon;Ananthacorus angustifolius;3145308;12371-2;Accepted;1;Ananthacorus angustifolius;Ananthacorus angustifolius;Pteridaceae;(Sw.) Underw. & Maxon;3145308;12371-2;12371-2;epiphyte;Ananthacorus angustifolius;"Vittaria costata Kunze (Correa et al. 2004; Moran 1995)";E;Ananthacorus angustifolius;;VRAI;FAUX;;FAUX;;Zotz;2650242;Ananthacorus angustifolius (Sw.) Underw. & Maxon;EXACT;ACCEPTED;;2650242;Ananthacorus angustifolius (Sw.) Underw. & Maxon;EXACT;ACCEPTED;
Anaxagorea panamensis;Anaxagorea panamensis;ForestGeo;Standl.;anaxpa;ANAP;Standl.;Anaxagorea panamensis;2636385;12519-2;Accepted;1;Anaxagorea panamensis;Anaxagorea panamensis;Annonaceae;Standl.;2636385;12519-2;12519-2;shrub;Anaxagorea panamensis;;S;;bci50ha;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3156864;Anaxagorea panamensis Standl.;EXACT;ACCEPTED;;3156864;Anaxagorea panamensis Standl.;EXACT;ACCEPTED;
Ancistrotropis peduncularis;Ancistrotropis peduncularis;ForestGeo;(Fawc. & Rendle) A. Delgado;vignpe;;(Fawc. & Rendle) A.Delgado;Ancistrotropis peduncularis;2905401;60457232-2;Accepted;1;Ancistrotropis peduncularis;Ancistrotropis peduncularis;Fabaceae;(Fawc. & Rendle) A.Delgado;2905401;60457232-2;60457232-2;climbing perennial;Vigna peduncularis;Phaseolus peduncularis Kunth;Vw;;;VRAI;FAUX;;VRAI;Climbing;Garwood2009;7484829;Ancistrotropis peduncularis (Fawc. & Rendle) A.Delgado;EXACT;ACCEPTED;;7484829;Ancistrotropis peduncularis (Fawc. & Rendle) A.Delgado;EXACT;ACCEPTED;
Andira inermis;Andira inermis;ForestGeo;(W. Wright) Kunth ex DC.;andiin;ANDI;(W.Wright) Kunth ex DC.;Andira inermis;2636921;1075415-2;Accepted;1;Andira inermis;Andira inermis;Fabaceae;(W.Wright) Kunth ex DC.;2636921;1075415-2;1075415-2;tree;Andira inermis subsp. inermis;;T;;bci50ha, bci25ha, P11, Pearson, P10, P18, gigante1, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;2952214;Andira inermis (W.Wright) DC.;EXACT;ACCEPTED;;2952214;Andira inermis (W.Wright) DC.;EXACT;ACCEPTED;
Andropogon bicornis;Andropogon bicornis;Garwood2009;L.;;;L.;Andropogon bicornis;392061;12758-2;Accepted;1;Andropogon bicornis;Andropogon bicornis;Poaceae;L.;392061;12758-2;12758-2;perennial;Andropogon bicornis;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2706079;Andropogon bicornis L.;EXACT;ACCEPTED;;2706079;Andropogon bicornis L.;EXACT;ACCEPTED;
Andropogon glomeratus;Andropogon glomeratus var. pumilus;Garwood2009;(Walter) Britton, Sterns & Poggenb.;;;(Vasey) L.H.Dewey;Andropogon glomeratus;392498;12850-2;Accepted;1;Andropogon glomeratus;Andropogon tenuispatheus;Poaceae;(Walter) Britton, Sterns & Poggenb.;392498;12850-2;12850-2;perennial;Andropogon glomeratus var. pumilus;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2706097;Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.;EXACT;ACCEPTED;;2706097;Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.;EXACT;ACCEPTED;
Andropogon leucostachyus;Andropogon leucostachyus;Garwood2009;Kunth;;;Kunth;Andropogon leucostachyus;392764;12920-2;Accepted;1;Andropogon leucostachyus;Andropogon leucostachyus;Poaceae;Kunth;392764;12920-2;12920-2;perennial;Andropogon leucostachyus;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2706096;Andropogon leucostachyus Kunth;EXACT;ACCEPTED;;2706096;Andropogon leucostachyus Kunth;EXACT;ACCEPTED;
Andropogon virginicus;Andropogon virginicus var. virginicus;Garwood2009;L.;;;L.;Andropogon virginicus;393606;388740-1;Accepted;1;Andropogon virginicus;Andropogon virginicus;Poaceae;L.;393606;388740-1;388740-1;perennial;Andropogon virginicus var. virginicus;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2706080;Andropogon virginicus L.;EXACT;ACCEPTED;;2706080;Andropogon virginicus L.;EXACT;ACCEPTED;
Anemopaegma chrysoleucum;Anemopaegma chrysoleucum;ForestGeo;(Kunth) Sandwith;anemc1;;(Kunth) Sandwith;Anemopaegma chrysoleucum;319507;13555-2;Accepted;1;Anemopaegma chrysoleucum;Anemopaegma chrysoleucum;Bignoniaceae;(Kunth) Sandwith;319507;13555-2;13555-2;liana;Anemopaegma chrysoleucum;;L;;;VRAI;FAUX;;VRAI;Climbing;Garwood2009;4093499;Anemopaegma chrysoleucum (Kunth) Sandwith;EXACT;ACCEPTED;;4093499;Anemopaegma chrysoleucum (Kunth) Sandwith;EXACT;ACCEPTED;
Aniseia luxurians;Aniseia luxurians;ForestGeo;(Moric.) AthiÃª-Souza & Buril;iseilu;ISEL;(Moric.) Athiê-Souza & Buril;Aniseia luxurians;523804;77167338-1;Accepted;1;Aniseia luxurians;Aniseia luxurians;Convolvulaceae;(Moric.) Athiê-Souza & Buril;523804;77167338-1;77167338-1;liana;Iseia luxurians;;L;;;VRAI;FAUX;;VRAI;Climbing;Garwood2009;9730688;Aniseia luxurians (Moric.) Athiê-Souza & Buril;EXACT;ACCEPTED;;9730688;Aniseia luxurians (Moric.) Athiê-Souza & Buril;EXACT;ACCEPTED;
Aniseia martinicensis;Aniseia martinicensis;ForestGeo;(Jacq.) Choisy;anisma;;(Jacq.) Choisy;Aniseia martinicensis;482304;30070865-2;Accepted;1;Aniseia martinicensis;Aniseia martinicensis;Convolvulaceae;(Jacq.) Choisy;482304;30070865-2;30070865-2;climbing perennial;Aniseia martinicensis var. martinicensis;;Vw;;;VRAI;FAUX;;VRAI;Climbing;Garwood2009;2928410;Aniseia martinicensis (Jacq.) Choisy;EXACT;ACCEPTED;;2928410;Aniseia martinicensis (Jacq.) Choisy;EXACT;ACCEPTED;
Annona acuminata;Annona acuminata;ForestGeo;Saff.;annoac;ANNA;Saff.;Annona acuminata;2640768;14218-2;Accepted;1;Annona acuminata;Annona acuminata;Annonaceae;Saff.;2640768;14218-2;14218-2;tree;Annona acuminata;;S;;bci50ha, P10;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;5407198;Annona acuminata Saff.;EXACT;ACCEPTED;;5407198;Annona acuminata Saff.;EXACT;ACCEPTED;
Annona glabra;Annona glabra;ForestGeo;L.;annogl;ANNG;L.;Annona glabra;2640872;72208-1;Accepted;1;Annona glabra;Annona glabra;Annonaceae;L.;2640872;72208-1;72208-1;shrub or tree;Annona glabra;;Ua;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;5407100;Annona glabra L.;EXACT;ACCEPTED;;5407100;Annona glabra L.;EXACT;ACCEPTED;
Annona hayesii;Annona hayesii;ForestGeo;Saff.;annoha;ANNH;Saff.;Annona hayesii;2640887;14275-2;Accepted;1;Annona hayesii;Annona hayesii;Annonaceae;Saff.;2640887;14275-2;14275-2;shrub or tree;Annona hayesii;;U;;P11, P10, P18, gigante2, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;7539280;Annona hayesii Saff.;EXACT;PROVISIONALLY_ACCEPTED;;7539280;Annona hayesii Saff.;EXACT;PROVISIONALLY_ACCEPTED;
Annona muricata;Annona muricata;ForestGeo;L.;annomu;ANNM;L.;Annona muricata;2640944;14308-2;Accepted;1;Annona muricata;Annona muricata;Annonaceae;L.;2640944;14308-2;14308-2;tree;Annona muricata;;U;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;5407273;Annona muricata L.;EXACT;ACCEPTED;;5407273;Annona muricata L.;EXACT;ACCEPTED;
Annona purpurea;Annona purpurea;ForestGeo;Moc. & Sessé ex Dunal;annopu;;Moc. & Sessé ex Dunal;Annona purpurea;2640992;72289-1;Accepted;1;Annona purpurea;Annona purpurea;Annonaceae;Moc. & Sessé ex Dunal;2640992;72289-1;72289-1;tree;Annona purpurea;;U;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;5407091;Annona purpurea Moç. & Sessé ex Dunal;EXACT;ACCEPTED;;5407091;Annona purpurea Moç. & Sessé ex Dunal;EXACT;ACCEPTED;
Annona spraguei;Annona spraguei;ForestGeo;Saff.;annosp;ANNS;Saff.;Annona spraguei;2641033;14352-2;Accepted;1;Annona spraguei;Annona spraguei;Annonaceae;Saff.;2641033;14352-2;14352-2;tree;Annona spraguei;;M;;bci50ha, bci10ha, bci25ha, P14, P11, AVA, Drayton, P10, P18, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;5407072;Annona spraguei Saff.;EXACT;ACCEPTED;;5407072;Annona spraguei Saff.;EXACT;ACCEPTED;
Anthephora hermaphrodita;Anthephora hermaphrodita;Garwood2009;(L.) Kuntze;;;(L.) Kuntze;Anthephora hermaphrodita;393800;14931-2;Accepted;1;Anthephora hermaphrodita;Anthephora hermaphrodita;Poaceae;(L.) Kuntze;393800;14931-2;14931-2;annual;Anthephora hermaphrodita;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2702936;Anthephora hermaphrodita (L.) Kuntze;EXACT;ACCEPTED;;2702936;Anthephora hermaphrodita (L.) Kuntze;EXACT;ACCEPTED;
Anthodon decussatus;Anthodon decussatus;ForestGeo;Ruiz & Pav.;ant2de;;Ruiz & Pav.;Anthodon decussatum;2641675;430910-1;Accepted;1;Anthodon decussatum;Anthodon decussatum;Celastraceae;Ruiz & Pav.;2641675;430910-1;430910-1;liana;Anthodon decussatum;"Anthodon panamense A.C. Sm. (Croat 1978; Correa et al. 2004)";L;;;VRAI;FAUX;Anthodon panamense;VRAI;Climbing;Garwood2009;5579479;Anthodon decussatum Ruiz & Pav.;EXACT;ACCEPTED;;5579479;Anthodon decussatum Ruiz & Pav.;EXACT;ACCEPTED;
Anthurium acutangulum;Anthurium acutangulum;Zotz;Engl.;;;Engl.;Anthurium acutangulum;10589;15058-2;Accepted;1;Anthurium acutangulum;Anthurium acutangulum;Araceae;Engl.;10589;15058-2;15058-2;epiphytic subshrub;Anthurium acutangulum;;E;Anthurium acutangulum;;VRAI;FAUX;;FAUX;;Zotz;2873612;Anthurium acutangulum Engl.;EXACT;ACCEPTED;;2873612;Anthurium acutangulum Engl.;EXACT;ACCEPTED;
Anthurium bakeri;Anthurium bakeri;Zotz;Hook.f.;;;Hook.f.;Anthurium bakeri;10685;84582-1;Accepted;1;Anthurium bakeri;Anthurium bakeri;Araceae;Hook.f.;10685;84582-1;84582-1;epiphytic subshrub;Anthurium bakeri;;E;Anthurium bakeri;;VRAI;FAUX;;FAUX;;Zotz;4933146;Anthurium bakeri Hook.f.;EXACT;ACCEPTED;;4933146;Anthurium bakeri Hook.f.;EXACT;ACCEPTED;
Anthurium brownii;Anthurium brownii;Zotz;Mast.;;;Mast.;Anthurium brownii;10739;84615-1;Accepted;1;Anthurium brownii;Anthurium brownii;Araceae;Mast.;10739;84615-1;84615-1;epiphytic subshrub;Anthurium brownii;;E;Anthurium brownii;;VRAI;FAUX;;FAUX;;Zotz;2872746;Anthurium brownii Mast.;EXACT;ACCEPTED;;2872746;Anthurium brownii Mast.;EXACT;ACCEPTED;
Anthurium clavigerum;Anthurium clavigerum;Zotz;Poepp.;;;Poepp.;Anthurium clavigerum;10813;84666-1;Accepted;1;Anthurium clavigerum;Anthurium clavigerum;Araceae;Poepp.;10813;84666-1;84666-1;epiphytic subshrub;Anthurium clavigerum;;E;Anthurium clavigerum;;VRAI;FAUX;;FAUX;;Zotz;2872456;Anthurium clavigerum Poepp.;EXACT;ACCEPTED;;2872456;Anthurium clavigerum Poepp.;EXACT;ACCEPTED;
Anthurium concolor;Anthurium concolor;Zotz;K. Krause;;;K.Krause;Anthurium concolor;10836;15201-2;Accepted;1;Anthurium concolor;Anthurium concolor;Araceae;K.Krause;10836;15201-2;15201-2;epiphytic subshrub;Anthurium concolor;;E;Anthurium concolor;;VRAI;FAUX;;FAUX;;Zotz;2873585;Anthurium concolor K.Krause;EXACT;ACCEPTED;;2873585;Anthurium concolor K.Krause;EXACT;ACCEPTED;
Anthurium flexile;Anthurium flexile;Zotz;Schott;;;Schott;Anthurium flexile;10990;84808-1;Accepted;1;Anthurium flexile;Anthurium flexile;Araceae;Schott;10990;84808-1;84808-1;epiphyte;Anthurium flexile;;E;Anthurium flexile;;VRAI;FAUX;;FAUX;;Zotz;2872279;Anthurium flexile Schott;EXACT;ACCEPTED;;2872279;Anthurium flexile Schott;EXACT;ACCEPTED;
Anthurium friedrichsthalii;Anthurium friedrichsthalii;Zotz;Schott;;;Schott;Anthurium friedrichsthalii;11006;84819-1;Accepted;1;Anthurium friedrichsthalii;Anthurium friedrichsthalii;Araceae;Schott;11006;84819-1;84819-1;epiphytic subshrub;Anthurium friedrichsthalii;;E;Anthurium friedrichsthalii;;VRAI;FAUX;;FAUX;;Zotz;2872380;Anthurium friedrichsthalii Schott;EXACT;ACCEPTED;;2872380;Anthurium friedrichsthalii Schott;EXACT;ACCEPTED;
Anthurium gracile;Anthurium gracile;Zotz;(Rudge) Schott;;;(Rudge) Lindl.;Anthurium gracile;11046;84849-1;Accepted;1;Anthurium gracile;Anthurium gracile;Araceae;(Rudge) Lindl.;11046;84849-1;84849-1;epiphytic subshrub;Anthurium gracile;;E;Anthurium gracile;;VRAI;FAUX;;FAUX;;Zotz;2872811;Anthurium gracile (Rudge) Lindl.;EXACT;ACCEPTED;;2872811;Anthurium gracile (Rudge) Lindl.;EXACT;ACCEPTED;
Anthurium kunthii;Anthurium kunthii;Zotz;Poepp.;;;Poepp.;Anthurium kunthii;11196;84956-1;Accepted;1;Anthurium kunthii;Anthurium kunthii;Araceae;Poepp.;11196;84956-1;84956-1;climbing subshrub or epiphyte;Anthurium kunthii;Anthurium bombacifolium Schott sensu Croat (1978);E;Anthurium kunthii;;VRAI;FAUX;;FAUX;;Zotz;2873587;Anthurium kunthii Poepp.;EXACT;ACCEPTED;;2873587;Anthurium kunthii Poepp.;EXACT;ACCEPTED;
Anthurium myosuroides;Anthurium myosuroides;Garwood2009;(Kunth) Schott;;;(Kunth) Endl.;Anthurium myosuroides;11366;85106-1;Accepted;1;Anthurium myosuroides;Anthurium myosuroides;Araceae;(Kunth) Endl.;11366;85106-1;85106-1;subshrub or epiphyte;Anthurium myosuroides;;E;;;VRAI;FAUX;;FAUX;;Garwood2009;2872448;Anthurium myosuroides (Kunth) Endl.;EXACT;ACCEPTED;;2872448;Anthurium myosuroides (Kunth) Endl.;EXACT;ACCEPTED;
Anthurium obtusum;Anthurium obtusum;Zotz;(Engl.) Grayum;;;(Engl.) Grayum;Anthurium obtusum;11412;1001003-1;Accepted;1;Anthurium obtusum;Anthurium obtusum;Araceae;(Engl.) Grayum;11412;1001003-1;1001003-1;epiphytic subshrub;Anthurium obtusum;"Anthurium scandens sensu Croat (1978), in part; Anthurium trinerve Miq. sensu Croat (1986)";E;Anthurium obtusum;;VRAI;FAUX;;FAUX;;Zotz;2873359;Anthurium obtusum (Engl.) Grayum;EXACT;ACCEPTED;;2873359;Anthurium obtusum (Engl.) Grayum;EXACT;ACCEPTED;
Anthurium ochranthum;Anthurium ochranthum;Garwood2009;K.Koch;;;K.Koch;Anthurium ochranthum;11417;85140-1;Accepted;1;Anthurium ochranthum;Anthurium ochranthum;Araceae;K.Koch;11417;85140-1;85140-1;subshrub;Anthurium ochranthum;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;2872582;Anthurium ochranthum K.Koch;EXACT;ACCEPTED;;2872582;Anthurium ochranthum K.Koch;EXACT;ACCEPTED;
Anthurium paludosum;Anthurium paludosum;Zotz;Engl.;;;Engl.;Anthurium paludosum;11460;15545-2;Accepted;1;Anthurium paludosum;Anthurium paludosum;Araceae;Engl.;11460;15545-2;15545-2;epiphytic subshrub;Anthurium paludosum;Anthurium littorale Engl. sensu Croat (1978);E;Anthurium paludosum;;VRAI;FAUX;;FAUX;;Zotz;2872486;Anthurium paludosum Engl.;EXACT;ACCEPTED;;2872486;Anthurium paludosum Engl.;EXACT;ACCEPTED;
Anthurium salvinii;Anthurium salvinii;Zotz;Hemsl.;;;Hemsl.;Anthurium salvinii;11654;85324-1;Accepted;1;Anthurium salvinii;Anthurium salvinii;Araceae;Hemsl.;11654;85324-1;85324-1;epiphytic subshrub;Anthurium salvinii;Anthurium tetragonum Hook. ex Schott sensu Croat (1978);E;Anthurium salvinii;;VRAI;FAUX;;FAUX;;Zotz;2872887;Anthurium salvinii Hemsl.;EXACT;ACCEPTED;;2872887;Anthurium salvinii Hemsl.;EXACT;ACCEPTED;
Anthurium scandens;Anthurium scandens;Zotz;;;;(Aubl.) Engl.;Anthurium scandens;11668;85333-1;Accepted;1;Anthurium scandens;Anthurium scandens;Araceae;(Aubl.) Engl.;11668;85333-1;85333-1;epiphyte;Anthurium scandens subsp. scandens;Anthurium scandens (Aubl.) Engl. sensu Croat (1978), in part;E;Anthurium scandens;;VRAI;FAUX;;FAUX;;Zotz;2873423;Anthurium scandens (Aubl.) Engl.;EXACT;ACCEPTED;;2873423;Anthurium scandens (Aubl.) Engl.;EXACT;ACCEPTED;
Apeiba membranacea;Apeiba membranacea;ForestGeo;Spruce ex Benth.;apeime;APEM;Spruce ex Benth.;Apeiba membranacea;2643251;833266-1;Accepted;1;Apeiba membranacea;Apeiba membranacea;Malvaceae;Spruce ex Benth.;2643251;833266-1;833266-1;tree;Apeiba membranacea;;T;;bci50ha, bci10ha, bci25ha, P14, P11, Zetek, AVA, Drayton, Pearson, gigante1, gigante2, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;4260481;Apeiba membranacea Spruce ex Benth.;EXACT;ACCEPTED;;4260481;Apeiba membranacea Spruce ex Benth.;EXACT;ACCEPTED;
Apeiba tibourbou;Apeiba tibourbou;ForestGeo;Aubl.;apeiti;APET;Aubl.;Apeiba tibourbou;2643255;833270-1;Accepted;1;Apeiba tibourbou;Apeiba tibourbou;Malvaceae;Aubl.;2643255;833270-1;833270-1;tree;Apeiba tibourbou;;T;;bci50ha, bci10ha, bci25ha, Drayton, Pearson;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3152052;Apeiba tibourbou Aubl.;EXACT;ACCEPTED;;3152052;Apeiba tibourbou Aubl.;EXACT;ACCEPTED;
Aphelandra sinclairiana;Aphelandra sinclairiana;ForestGeo;Nees;aphesi;APHS;Nees;Aphelandra sinclairiana;2643711;45615-1;Accepted;1;Aphelandra sinclairiana;Aphelandra sinclairiana;Acanthaceae;Nees;2643711;45615-1;45615-1;shrub or tree;Aphelandra sinclairiana;;S;;bci50ha;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3776906;Aphelandra sinclairiana Nees;EXACT;ACCEPTED;;3776906;Aphelandra sinclairiana Nees;EXACT;ACCEPTED;
Apodanthes caseariae;Apodanthes caseariae;Garwood2009;Poit.;;;Poit.;Apodanthes caseariae;2644242;316017-1;Accepted;1;Apodanthes caseariae;Apodanthes caseariae;Apodanthaceae;Poit.;2644242;316017-1;316017-1;holoparasite;Apodanthes caseariae;;PE;;;VRAI;FAUX;;FAUX;;Garwood2009;3941218;Apodanthes caseariae Poit.;EXACT;ACCEPTED;;3941218;Apodanthes caseariae Poit.;EXACT;ACCEPTED;
Araucaria heterophylla;Araucaria heterophylla;Garwood2009;(Salisb.) Franco;;;(Salisb.) Franco;Araucaria heterophylla;14360;676669-1;Accepted;1;Araucaria heterophylla;Araucaria heterophylla;Araucariaceae;(Salisb.) Franco;14360;676669-1;676669-1;tree;Araucaria heterophylla;Araucaria excelsa (Lamb.) R.Br. (Croat 1978, Correa et al. 2004);T;;;VRAI;FAUX;;FAUX;;Garwood2009;2684969;Araucaria heterophylla (Salisb.) Franco;EXACT;ACCEPTED;;2684969;Araucaria heterophylla (Salisb.) Franco;EXACT;ACCEPTED;
Ardisia bartletii;Ardisia bartletii;ForestGeo;Lundell;ardiba;ARDB;Lundell;Ardisia bartletii;2647592;18048-2;Accepted;0.944;Ardisia bartletii;Ardisia bartletii;Primulaceae;Lundell;2647592;18048-2;18048-2;shrub or tree;Ardisia bartlettii subsp. bartlettii;;S;;bci50ha;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;7330940;Ardisia bartletii Lundell;EXACT;ACCEPTED;;7330940;Ardisia bartletii Lundell;EXACT;ACCEPTED;
