type,label,value
species,Hibiscus rosa-sinensis-HIBIRO,3152559
species,Hibiscus sororius,7278701
species,Hieronyma alchorneoides-HYERAL-HYEL,3079092
species,Hippeastrum puniceum,2854416
species,Hippobroma longiflora,3168943
species,Hippocratea volubilis-HIP2VO-HIPV,3169012
species,Hiraea fagifolia-HIRAF1,7285448
species,Hiraea faginea-HIRAFA-HIRF,3191289
species,Hiraea fosteri-HIRAFO-HIR3,3984694
species,Hiraea grandifolia-HIRAGR-HIRG,7285406
species,Hiraea reclinata-HIRARE-HIR1,3983773
species,Hiraea smilacina-HIRAQU-HIRQ,3984686
species,Hirtella americana-HIRTAM-HIRA,2985148
